"year","month","region","subregion","country","passenger_count","ctry_cntr_long","ctry_cntr_lat"
2014,"may","Asia","Middle East","Kuwait",419,-112.027714285714,29.2714285714286
2014,"may","Asia","Middle East","Qatar",368,-108.735555555556,25.3366666666667
2014,"may","Asia","Middle East","Saudi Arabia",3402,-115.712795698925,23.777311827957
2014,"may","Asia","Middle East","United Arab Emirates",1429,-104.391111111111,25.18
2014,"may","Asia","South Asia","Bangladesh",388,-69.7788111888112,23.7406293706294
2014,"may","Asia","South Asia","India",5305,-80.6390758047767,21.5019210799585
2014,"may","Asia","South Asia","Iran",341,-108.556127819549,33.8924812030075
2014,"may","Asia","South Asia","Nepal",180,-75.3217307692308,27.6073076923077
2014,"may","Asia","South Asia","Pakistan",333,-89.0981339712919,29.9402631578947
2014,"may","Asia","South Asia","Sri Lanka",296,-79.6352112676057,7.26901408450704
2014,"may","Australasia & The Pacific","Australasia & The Pacific","Australia",20629,-15.7823004694836,-30.319014084507
2014,"may","Australasia & The Pacific","Australasia & The Pacific","Guam",2850,-15.2292592592593,13.4496296296296
2014,"may","Australasia & The Pacific","Australasia & The Pacific","Nauru",5,6.90999999999997,-0.55
2014,"may","Australasia & The Pacific","Australasia & The Pacific","New Zealand",1684,13.6360507246377,-40.5059420289855
2014,"may","Australasia & The Pacific","Australasia & The Pacific","Papua New Guinea",474,-13.0243902439024,-6.12756097560976
2014,"may","Europe","Eastern Europe","Commonwealth Of Independent States",478,NA,NA
2014,"may","Europe","Eastern Europe","Poland",330,-141.010615034169,51.843735763098
2014,"may","Europe","Eastern Europe","Russian Federation",1654,-104.664588832487,53.6329137055838
2014,"may","Europe","Eastern Mediterranean Europe","Israel",585,-124.919067357513,32.3195336787565
2014,"may","Europe","Eastern Mediterranean Europe","Turkey",284,-125.645423514539,39.2837547408344
2014,"may","Europe","Northern Europe","Denmark",912,-149.482451612903,55.8588709677419
2014,"may","Europe","Northern Europe","Finland",395,-135.20176744186,62.2486046511628
2014,"may","Europe","Northern Europe","Ireland",990,-167.659333333333,53.1170909090909
2014,"may","Europe","Northern Europe","Norway",1121,-149.670952380952,62.0989355742297
2014,"may","Europe","Northern Europe","Sweden",991,-144.479326923077,58.9549038461538
2014,"may","Europe","Northern Europe","United Kingdom",13746,-161.96267027027,52.9356972972973
2014,"may","Europe","Southern Europe","Greece",179,-136.79204,38.98216
2014,"may","Europe","Southern Europe","Italy",1280,-147.610994923858,42.7972182741117
2014,"may","Europe","Southern Europe","Portugal",119,-168.546278538813,39.9041552511416
2014,"may","Europe","Southern Europe","Spain",1285,-162.8159375,40.0899421296296
2014,"may","Europe","Western Europe","Andorra",42,-158.461428571429,42.5342857142857
2014,"may","Europe","Western Europe","Austria",758,-145.891361702128,47.6804680851064
2014,"may","Europe","Western Europe","Belgium",868,-155.426974637681,50.7387862318841
2014,"may","Europe","Western Europe","France",2788,-157.2156,47.37819
2014,"may","Europe","Western Europe","Germany",4478,-150.696603206413,50.8155811623246
2014,"may","Europe","Western Europe","Luxembourg",45,-153.907505285412,49.7718181818182
2014,"may","Europe","Western Europe","Netherlands",1940,-154.601603773585,52.0650943396226
2014,"may","Europe","Western Europe","Switzerland",1732,-151.942360774818,47.0366101694915
2014,"may","Others & Unspecified","Others & Unspecified","Residences",3565,NA,NA
2014,"june","Africa","Africa","Nigeria",119,-152.464510556622,9.04612284069098
2014,"june","Africa","Africa","South Africa",253,-132.876814159292,-28.5941592920354
2014,"june","America","North America","Canada",11358,112.832333696838,48.1319847328244
2014,"june","America","North America","Mexico",225,100.133599574015,20.7982747603834
2014,"june","America","North America","USA",60730,104.870802407222,37.4450351053159
2014,"june","America","South America","Argentina",81,137.710731707317,-33.5251219512195
2014,"june","America","South America","Brazil",199,153.832635897436,-17.5192102564103
2014,"june","America","South America","Colombia",65,125.168682877406,5.70347517730496
2014,"june","America","South America","Peru",25,123.582095588235,-9.93136029411765
2014,"june","America","South America","Venezuela",18,131.974711538462,9.79432692307692
2014,"june","Asia","ASEAN","Brunei",1032,-45.374,4.73
2014,"june","Asia","ASEAN","Cambodia",288,-55.1844,12.2416
2014,"june","Asia","ASEAN","Indonesia",4053,-49.7179831932773,-5.32147058823529
2014,"june","Asia","ASEAN","Laos",135,-55.9455555555555,18.0761111111111
2014,"june","Asia","ASEAN","Malaysia",12478,-56.2003067484662,3.87441717791411
