"month","region","subregion","country","ctry_cntr_long","ctry_cntr_lat","y2014","y2015","y2016","y2017","y2018"
"may","Africa","Africa","South Africa",-132.876814159292,-28.5941592920354,311,384,436,670,655
"may","America","North America","Canada",112.832333696838,48.1319847328244,13732,13990,14052,16794,19484
"may","America","North America","Mexico",100.133599574015,20.7982747603834,189,243,227,315,380
"may","America","North America","USA",104.870802407222,37.4450351053159,67507,69520,73644,83056,92754
"may","America","South America","Argentina",137.710731707317,-33.5251219512195,107,210,191,291,294
"may","America","South America","Brazil",153.832635897436,-17.5192102564103,221,353,317,619,539
"may","America","South America","Colombia",125.168682877406,5.70347517730496,81,109,100,119,187
"may","America","South America","Peru",123.582095588235,-9.93136029411765,28,46,44,73,59
"may","America","South America","Venezuela",131.974711538462,9.79432692307692,17,12,21,13,24
"may","Asia","ASEAN","Brunei",-45.374,4.73,892,676,710,670,771
"may","Asia","ASEAN","Cambodia",-55.1844,12.2416,266,366,294,347,461
"may","Asia","ASEAN","Indonesia",-49.7179831932773,-5.32147058823529,3859,3705,4585,5045,6466
"may","Asia","ASEAN","Laos",-55.9455555555555,18.0761111111111,93,104,104,106,109
"may","Asia","ASEAN","Malaysia",-56.2003067484662,3.87441717791411,10142,13089,12076,13328,12179
"may","Asia","ASEAN","Myanmar",-63.8993939393939,18.9172727272727,581,565,554,783,905
"may","Asia","ASEAN","Singapore",-56.15,1.3,14424,15816,14723,15895,15971
"may","Asia","ASEAN","Thailand",-58.8763822525597,14.4172354948805,4014,4429,4048,4334,7126
"may","Asia","ASEAN","Vietnam",-53.5057352941176,16.3188235294118,2266,2761,3102,3966,4927
"may","Asia","East Asia","China",-44.1156278026906,34.0535201793722,31424,33250,46825,73649,109789
"may","Asia","East Asia","Hongkong",NA,NA,8430,12031,9355,9280,10308
"may","Asia","East Asia","Japan",-23.1284684684684,35.605975975976,35496,37228,39422,44696,45744
"may","Asia","East Asia","Korea",-32.3073484848485,36.3019696969697,73984,90465,94736,128691,114973
"may","Asia","East Asia","Macau",NA,NA,541,1028,701,948,869
"may","Asia","East Asia","Taiwan",-39.2136734693877,24.0868367346939,9810,13859,18136,22429,18545
"may","Asia","Middle East","Bahrain",-109.447272727273,26.1736363636364,321,327,301,258,221
